id,x
1,0
2,0
3,0
4,0
5,0
6,1
7,0
8,1
9,0
10,0
11,0
12,0
13,0
14,0
15,1
16,0
17,1
18,0
19,0
20,0
21,0
22,2
23,2
24,0
25,0
26,0
27,0
28,1
29,0
30,0
31,1
32,1
33,0
34,0
35,1
36,1
37,1
38,0
39,0
40,1
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,0
51,0
52,0
53,0
54,0
55,0
56,0
57,0
58,0
59,2
60,0
61,1
62,0
63,0
64,0
65,0
66,0
67,0
68,0
69,0
70,0
71,0
72,0
73,0
74,0
75,0
76,0
77,0
78,0
79,1
80,0
81,0
82,0
83,0
84,0
85,7
86,3
87,2
88,3
89,2
90,4
91,0
92,0
93,0
94,0
95,1
96,0
97,0
98,0
99,0
100,0
101,0
102,0
103,1
104,0
105,2
106,0
107,0
108,0
109,0
110,1
111,0
112,0
113,0
114,0
115,1
116,0
117,0
118,0
119,0
120,0
121,0
122,0
123,0
124,0
125,0
126,0
127,0
128,0
129,0
130,1
131,0
132,0
133,0
134,0
135,0
136,2
137,1
138,0
139,0
140,1
141,0
142,0
143,0
144,1
145,0
146,1
147,1
148,0
149,0
150,0
151,1
152,0
153,0
154,1
155,0
156,0
157,0
158,1
159,2
160,0
161,0
162,0
163,1
164,0
165,1
166,1
167,0
168,1
169,0
170,0
171,2
172,0
173,1
174,2
175,1
176,1
177,2
178,1
179,0
180,1
181,1
182,0
183,0
184,1
185,1
186,0
187,0
188,0
189,1
190,1
191,1
192,0
193,4
194,0
195,0
196,2
197,0
198,0
199,0
200,0
201,0
202,0
203,0
204,0
205,0
206,0
207,0
208,0
209,0
210,0
211,0
212,0
213,0
214,0
215,0
216,0
217,0
218,0
219,0
220,0
221,0
222,0
223,0
224,0
225,0
226,0
227,0
228,0
229,0
230,0
231,0
232,0
233,0
234,0
235,0
236,0
237,0
238,0
239,0
240,0
